graph,order,size,batch_size,technique,time,iterations,error
"email-Eu-core-temporal","986","24928","1000","pagerankLoop (incremental)","0.69197","36.29","0.000007677154999999997"
"email-Eu-core-temporal","986","24928","1000","pagerankLoop (dynamic)","0.66518","36.29","0.000007678436999999999"
"email-Eu-core-temporal","986","24928","1000","pagerankLoopAll (static)","1.1893500000000001","56.37","0"
"email-Eu-core-temporal","986","24928","1000","pagerankLoopAll (incremental)","0.71555","35.69","0.000007741466000000002"
"email-Eu-core-temporal","986","24928","1000","pagerankLoopAll (dynamic)","0.6805500000000001","35.69","0.000007742917"
"email-Eu-core-temporal","986","24928","1000","pagerankRemove (static)","0.49622","28.79","0"
"email-Eu-core-temporal","986","24928","1000","pagerankRemove (incremental)","0.32414000000000004","19.43","0.0000026517128100000005"
"email-Eu-core-temporal","986","24928","1000","pagerankRemove (dynamic)","0.31908000000000003","19.51","0.00004563901540000001"
"email-Eu-core-temporal","986","24929","5000","pagerankTeleport (static)","0.5420447761194032","26.955223880597014","0"
"email-Eu-core-temporal","986","24929","5000","pagerankTeleport (incremental)","0.40295522388059685","20.492537313432837","0.000002348270746268656"
"email-Eu-core-temporal","986","24929","5000","pagerankTeleport (dynamic)","0.38791044776119404","20.47761194029851","0.0000023606200791044773"
"email-Eu-core-temporal","986","24929","5000","pagerankLoop (static)","1.1284029850746269","56.134328358208954","0"
"email-Eu-core-temporal","986","24929","5000","pagerankLoop (incremental)","0.8301194029850749","43.28358208955224","0.000007638522388059702"
"email-Eu-core-temporal","986","24929","5000","pagerankLoop (dynamic)","0.793731343283582","43.26865671641791","0.000007649823880597016"
"email-Eu-core-temporal","986","24929","5000","pagerankLoopAll (static)","1.1825223880597018","56.40298507462686","0"
"email-Eu-core-temporal","986","24929","5000","pagerankLoopAll (incremental)","0.8596716417910448","42.74626865671642","0.000007672446268656718"
"email-Eu-core-temporal","986","24929","5000","pagerankLoopAll (dynamic)","0.8144626865671644","42.74626865671642","0.000007673446268656717"
"email-Eu-core-temporal","986","24929","5000","pagerankRemove (static)","0.48849253731343295","28.64179104477612","0"
"email-Eu-core-temporal","986","24929","5000","pagerankRemove (incremental)","0.3613134328358209","21.955223880597014","0.0000025676001194029847"
"email-Eu-core-temporal","986","24929","5000","pagerankRemove (dynamic)","0.3597761194029852","22.28358208955224","0.00006982548220895522"
"email-Eu-core-temporal","986","24929","10000","pagerankTeleport (static)","0.5469117647058825","26.88235294117647","0"
"email-Eu-core-temporal","986","24929","10000","pagerankTeleport (incremental)","0.4226176470588235","21.676470588235293","0.000002140437058823529"
"email-Eu-core-temporal","986","24929","10000","pagerankTeleport (dynamic)","0.41126470588235303","21.676470588235293","0.0000021521729411764703"
"email-Eu-core-temporal","986","24929","10000","pagerankLoop (static)","1.140735294117647","56.23529411764706","0"
"email-Eu-core-temporal","986","24929","10000","pagerankLoop (incremental)","0.8963235294117646","46.1764705882353","0.000007419317647058824"
"email-Eu-core-temporal","986","24929","10000","pagerankLoop (dynamic)","0.8624705882352943","46.1764705882353","0.0000074187558823529415"
"email-Eu-core-temporal","986","24929","10000","pagerankLoopAll (static)","1.1977352941176473","56.470588235294116","0"
"email-Eu-core-temporal","986","24929","10000","pagerankLoopAll (incremental)","0.9395588235294117","45.705882352941174","0.000007419738235294118"
"email-Eu-core-temporal","986","24929","10000","pagerankLoopAll (dynamic)","0.888970588235294","45.705882352941174","0.000007420726470588235"
"email-Eu-core-temporal","986","24929","10000","pagerankRemove (static)","0.49632352941176483","28.441176470588236","0"
"email-Eu-core-temporal","986","24929","10000","pagerankRemove (incremental)","0.3854705882352941","23.176470588235293","0.000002453543823529412"
"email-Eu-core-temporal","986","24929","10000","pagerankRemove (dynamic)","0.39029411764705896","23.705882352941178","0.00009341017647058821"
"email-Eu-core-temporal","986","24929","50000","pagerankTeleport (static)","0.5564285714285715","24.142857142857142","0"
"email-Eu-core-temporal","986","24929","50000","pagerankTeleport (incremental)","0.49542857142857144","21.857142857142858","0.0000017030500000000002"
"email-Eu-core-temporal","986","24929","50000","pagerankTeleport (dynamic)","0.47271428571428575","21.857142857142858","0.0000017153794285714286"
"email-Eu-core-temporal","986","24929","50000","pagerankLoop (static)","1.2275714285714285","56.285714285714285","0"
"email-Eu-core-temporal","986","24929","50000","pagerankLoop (incremental)","1.108142857142857","51.42857142857143","0.0000062461857142857144"
"email-Eu-core-temporal","986","24929","50000","pagerankLoop (dynamic)","1.0672857142857144","51.42857142857143","0.000006246742857142857"
"email-Eu-core-temporal","986","24929","50000","pagerankLoopAll (static)","1.2961428571428573","56.57142857142857","0"
"email-Eu-core-temporal","986","24929","50000","pagerankLoopAll (incremental)","1.1457142857142857","51.285714285714285","0.000006103100000000001"
"email-Eu-core-temporal","986","24929","50000","pagerankLoopAll (dynamic)","1.0887142857142857","51.285714285714285","0.0000061052142857142856"
"email-Eu-core-temporal","986","24929","50000","pagerankRemove (static)","0.5161428571428571","26.285714285714285","0"
"email-Eu-core-temporal","986","24929","50000","pagerankRemove (incremental)","0.4635714285714286","23.857142857142858","0.0000021858900000000003"
"email-Eu-core-temporal","986","24929","50000","pagerankRemove (dynamic)","0.5062857142857143","26.285714285714285","0.00015839342"
"email-Eu-core-temporal","986","24929","100000","pagerankTeleport (static)","0.61875","23.75","0"
